var,val
station,0
year,0
month,0
day,0
wind_speed_mean_meters_per_second,0.003256003256003256
wind_direction_heading,0.002849002849002849
air_temp_degrees_celsius,0.002849002849002849
barometric_pressure_mbar,0.002849002849002849
depth_meters,0.15384615384615385
water_temperature_degrees_celsius,0.1505901505901506
specific_conductivity_millisiemens_per_centimeter,0.15181115181115182
p_h_p_h,0.26373626373626374
turbidity_ntu,0.1505901505901506
organic_dissolved_oxygen_saturation_percent,0.17663817663817663
organic_dissolved_oxygen_milligrams_per_liter,0.26373626373626374
chlorophylla_rfu,0.1505901505901506
phycocyanin_rfu,0.17663817663817663
flourescent_dissolved_organic_matter_rfu,0.17663817663817663
turbidity_c6_ntu,0.8628408628408628
phycoerythrin_c6_rfu,0.8628408628408628
phycocyanin_c6_rfu,0.8628408628408628
chlorophylla_c6_rfu,0.8628408628408628
colored_dissolved_organic_matter_c6_ppb,0.8628408628408628
depth_c6_meters,0.9560439560439561
water_temp_c6_degrees_celsius,0.9560439560439561
wind_direction_rads,0.002849002849002849
wind_speed_north_meter_sec,0.003256003256003256
wind_speed_east_meter_sec,0.003256003256003256
depth_c6_meter,0.9067969067969068
water_temperature_c6_degrees_celsius,0.9067969067969068
ph_nan,0.9129019129019129
organic_dissolved_oxygen_1_milligrams_per_liter,0.9129019129019129
